               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099304,            0.029777,                   0,             0.26978,             0.31053,             0.20006,            0.055653,            0.068055,            0.013862,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.068547,            0.025061,                   0,              0.4207,             0.43263,             0.40114,              0.1063,            0.056988,           0.0097925,                   0,            0.040411,           0.0065483,           0.0065483
                   2,            0.059709,            0.022814,                   0,             0.24299,             0.52316,             0.22123,            0.082083,            0.049897,            0.010027,                   0,            0.010279,           0.0097501,           0.0097501
                   3,            0.052678,            0.020754,                   0,             0.53291,             0.54421,             0.52456,             0.23992,            0.041649,            0.012422,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.049338,            0.019185,                   0,             0.65835,             0.68356,             0.70633,             0.29717,            0.042205,           0.0080409,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044804,            0.018396,                   0,             0.67129,             0.77388,             0.76163,             0.38611,             0.03432,           0.0087789,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042622,            0.017774,                   0,             0.83062,              0.7072,             0.79511,             0.45811,            0.031513,            0.008355,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042141,            0.017969,                   0,             0.70313,             0.64632,             0.69741,             0.35992,            0.038484,           0.0090139,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040528,            0.017831,                   0,             0.69201,             0.78526,             0.81383,             0.46543,            0.032066,           0.0078681,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.03907,            0.016637,                   0,             0.83941,             0.73728,             0.85802,             0.42306,             0.03401,           0.0079047,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.038144,            0.016543,                   0,             0.86984,             0.77368,             0.86611,             0.51681,            0.030027,           0.0072493,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.037162,             0.01635,                   0,             0.66551,             0.72046,             0.73987,             0.37885,            0.034457,            0.008964,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036831,            0.015961,                   0,             0.82603,                0.78,             0.87402,             0.53616,            0.028368,           0.0070936,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03605,            0.015782,                   0,             0.85391,             0.76842,             0.85872,             0.52154,            0.029461,           0.0074177,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035113,            0.015647,                   0,             0.83228,             0.74173,             0.85154,             0.54528,            0.029288,            0.007277,                   0,            0.008713,            0.008713,            0.008713
